Simulation,Predicted Price,Average Return,Log Return,Simple Return
1,146.791,0.0109348,0.0405437,0.0413769
2,146.767,0.0109348,0.0405437,0.0413769
3,148.228,0.0109348,0.0405437,0.0413769
4,145.75,0.0109348,0.0405437,0.0413769
5,145.432,0.0109348,0.0405437,0.0413769
6,148.669,0.0109348,0.0405437,0.0413769
7,146.572,0.0109348,0.0405437,0.0413769
8,148.105,0.0109348,0.0405437,0.0413769
9,146.401,0.0109348,0.0405437,0.0413769
10,146.032,0.0109348,0.0405437,0.0413769
11,145.496,0.0109348,0.0405437,0.0413769
12,148.425,0.0109348,0.0405437,0.0413769
13,147.194,0.0109348,0.0405437,0.0413769
14,148.287,0.0109348,0.0405437,0.0413769
15,146.291,0.0109348,0.0405437,0.0413769
16,146.307,0.0109348,0.0405437,0.0413769
17,148.648,0.0109348,0.0405437,0.0413769
18,146.063,0.0109348,0.0405437,0.0413769
19,147.423,0.0109348,0.0405437,0.0413769
20,147.563,0.0109348,0.0405437,0.0413769
21,145.77,0.0109348,0.0405437,0.0413769
22,147.8,0.0109348,0.0405437,0.0413769
23,146.051,0.0109348,0.0405437,0.0413769
24,148.307,0.0109348,0.0405437,0.0413769
25,148.063,0.0109348,0.0405437,0.0413769
26,147.49,0.0109348,0.0405437,0.0413769
27,148.679,0.0109348,0.0405437,0.0413769
28,147.595,0.0109348,0.0405437,0.0413769
29,147.429,0.0109348,0.0405437,0.0413769
30,148.502,0.0109348,0.0405437,0.0413769
31,147.97,0.0109348,0.0405437,0.0413769
32,145.515,0.0109348,0.0405437,0.0413769
33,146.55,0.0109348,0.0405437,0.0413769
34,147.479,0.0109348,0.0405437,0.0413769
35,146.017,0.0109348,0.0405437,0.0413769
36,146.735,0.0109348,0.0405437,0.0413769
37,147.427,0.0109348,0.0405437,0.0413769
38,147.346,0.0109348,0.0405437,0.0413769
39,146.126,0.0109348,0.0405437,0.0413769
40,148.596,0.0109348,0.0405437,0.0413769
41,148.141,0.0109348,0.0405437,0.0413769
42,146.375,0.0109348,0.0405437,0.0413769
43,148.3,0.0109348,0.0405437,0.0413769
44,146.619,0.0109348,0.0405437,0.0413769
45,145.947,0.0109348,0.0405437,0.0413769
46,145.876,0.0109348,0.0405437,0.0413769
47,147.686,0.0109348,0.0405437,0.0413769
48,145.875,0.0109348,0.0405437,0.0413769
49,146.693,0.0109348,0.0405437,0.0413769
50,146.396,0.0109348,0.0405437,0.0413769
51,148.198,0.0109348,0.0405437,0.0413769
52,147.218,0.0109348,0.0405437,0.0413769
53,145.49,0.0109348,0.0405437,0.0413769
54,145.536,0.0109348,0.0405437,0.0413769
55,146.808,0.0109348,0.0405437,0.0413769
56,148.308,0.0109348,0.0405437,0.0413769
57,147.781,0.0109348,0.0405437,0.0413769
58,146.766,0.0109348,0.0405437,0.0413769
59,147.185,0.0109348,0.0405437,0.0413769
60,146.497,0.0109348,0.0405437,0.0413769
61,146.55,0.0109348,0.0405437,0.0413769
62,146.441,0.0109348,0.0405437,0.0413769
63,146.765,0.0109348,0.0405437,0.0413769
64,147.862,0.0109348,0.0405437,0.0413769
65,148.689,0.0109348,0.0405437,0.0413769
66,147.541,0.0109348,0.0405437,0.0413769
67,145.887,0.0109348,0.0405437,0.0413769
68,147.395,0.0109348,0.0405437,0.0413769
69,146.177,0.0109348,0.0405437,0.0413769
70,146.767,0.0109348,0.0405437,0.0413769
71,147.271,0.0109348,0.0405437,0.0413769
72,145.606,0.0109348,0.0405437,0.0413769
73,147.904,0.0109348,0.0405437,0.0413769
74,146.853,0.0109348,0.0405437,0.0413769
75,146.979,0.0109348,0.0405437,0.0413769
76,148.614,0.0109348,0.0405437,0.0413769
77,147.487,0.0109348,0.0405437,0.0413769
78,145.955,0.0109348,0.0405437,0.0413769
79,145.77,0.0109348,0.0405437,0.0413769
80,145.475,0.0109348,0.0405437,0.0413769
81,147.108,0.0109348,0.0405437,0.0413769
82,145.256,0.0109348,0.0405437,0.0413769
83,147.447,0.0109348,0.0405437,0.0413769
84,147.351,0.0109348,0.0405437,0.0413769
85,145.543,0.0109348,0.0405437,0.0413769
86,145.55,0.0109348,0.0405437,0.0413769
87,146.941,0.0109348,0.0405437,0.0413769
88,148.08,0.0109348,0.0405437,0.0413769
89,147.07,0.0109348,0.0405437,0.0413769
90,145.423,0.0109348,0.0405437,0.0413769
91,145.866,0.0109348,0.0405437,0.0413769
92,148.386,0.0109348,0.0405437,0.0413769
93,146.615,0.0109348,0.0405437,0.0413769
94,147.388,0.0109348,0.0405437,0.0413769
95,147.529,0.0109348,0.0405437,0.0413769
96,146.583,0.0109348,0.0405437,0.0413769
97,146.218,0.0109348,0.0405437,0.0413769
98,148.175,0.0109348,0.0405437,0.0413769
99,145.276,0.0109348,0.0405437,0.0413769
100,147.151,0.0109348,0.0405437,0.0413769
101,146.228,0.0109348,0.0405437,0.0413769
102,147.298,0.0109348,0.0405437,0.0413769
103,147.512,0.0109348,0.0405437,0.0413769
104,145.425,0.0109348,0.0405437,0.0413769
105,145.448,0.0109348,0.0405437,0.0413769
106,145.783,0.0109348,0.0405437,0.0413769
107,145.32,0.0109348,0.0405437,0.0413769
108,147.688,0.0109348,0.0405437,0.0413769
109,146.491,0.0109348,0.0405437,0.0413769
110,145.84,0.0109348,0.0405437,0.0413769
111,147.917,0.0109348,0.0405437,0.0413769
112,148.365,0.0109348,0.0405437,0.0413769
113,145.847,0.0109348,0.0405437,0.0413769
114,146.65,0.0109348,0.0405437,0.0413769
115,146.998,0.0109348,0.0405437,0.0413769
116,146.142,0.0109348,0.0405437,0.0413769
117,146.953,0.0109348,0.0405437,0.0413769
118,148.71,0.0109348,0.0405437,0.0413769
119,145.512,0.0109348,0.0405437,0.0413769
120,145.321,0.0109348,0.0405437,0.0413769
121,145.411,0.0109348,0.0405437,0.0413769
122,146.129,0.0109348,0.0405437,0.0413769
123,148.459,0.0109348,0.0405437,0.0413769
124,146.779,0.0109348,0.0405437,0.0413769
125,148.28,0.0109348,0.0405437,0.0413769
126,147.269,0.0109348,0.0405437,0.0413769
127,148.127,0.0109348,0.0405437,0.0413769
128,145.784,0.0109348,0.0405437,0.0413769
129,146.728,0.0109348,0.0405437,0.0413769
130,148.154,0.0109348,0.0405437,0.0413769
131,147.692,0.0109348,0.0405437,0.0413769
132,147.717,0.0109348,0.0405437,0.0413769
133,146.736,0.0109348,0.0405437,0.0413769
134,146.491,0.0109348,0.0405437,0.0413769
135,147.895,0.0109348,0.0405437,0.0413769
136,146.936,0.0109348,0.0405437,0.0413769
137,147.029,0.0109348,0.0405437,0.0413769
138,147.967,0.0109348,0.0405437,0.0413769
139,145.915,0.0109348,0.0405437,0.0413769
140,148.286,0.0109348,0.0405437,0.0413769
141,148.569,0.0109348,0.0405437,0.0413769
142,148.595,0.0109348,0.0405437,0.0413769
143,147.931,0.0109348,0.0405437,0.0413769
144,145.698,0.0109348,0.0405437,0.0413769
145,146.525,0.0109348,0.0405437,0.0413769
146,146.217,0.0109348,0.0405437,0.0413769
147,146.593,0.0109348,0.0405437,0.0413769
148,148.244,0.0109348,0.0405437,0.0413769
149,146.205,0.0109348,0.0405437,0.0413769
150,146.858,0.0109348,0.0405437,0.0413769
151,148.317,0.0109348,0.0405437,0.0413769
152,146.368,0.0109348,0.0405437,0.0413769
153,147.747,0.0109348,0.0405437,0.0413769
154,148.056,0.0109348,0.0405437,0.0413769
155,147.909,0.0109348,0.0405437,0.0413769
156,147.309,0.0109348,0.0405437,0.0413769
157,146.609,0.0109348,0.0405437,0.0413769
158,147.317,0.0109348,0.0405437,0.0413769
159,147.851,0.0109348,0.0405437,0.0413769
160,148.102,0.0109348,0.0405437,0.0413769
161,146.755,0.0109348,0.0405437,0.0413769
162,146.828,0.0109348,0.0405437,0.0413769
163,147.101,0.0109348,0.0405437,0.0413769
164,148.257,0.0109348,0.0405437,0.0413769
165,148.082,0.0109348,0.0405437,0.0413769
166,146.284,0.0109348,0.0405437,0.0413769
167,146.477,0.0109348,0.0405437,0.0413769
168,146.397,0.0109348,0.0405437,0.0413769
169,145.542,0.0109348,0.0405437,0.0413769
170,147.148,0.0109348,0.0405437,0.0413769
171,145.968,0.0109348,0.0405437,0.0413769
172,145.393,0.0109348,0.0405437,0.0413769
173,147.022,0.0109348,0.0405437,0.0413769
174,148.662,0.0109348,0.0405437,0.0413769
175,145.841,0.0109348,0.0405437,0.0413769
176,148.313,0.0109348,0.0405437,0.0413769
177,146.159,0.0109348,0.0405437,0.0413769
178,147.19,0.0109348,0.0405437,0.0413769
179,147.837,0.0109348,0.0405437,0.0413769
180,147.12,0.0109348,0.0405437,0.0413769
181,145.346,0.0109348,0.0405437,0.0413769
182,147.435,0.0109348,0.0405437,0.0413769
