Simulation,Predicted Price,Average Return,Log Return
1,151.418,0.00678265,0.017867
2,146.623,0.00678265,0.017867
3,149.177,0.00678265,0.017867
4,152.258,0.00678265,0.017867
5,150.505,0.00678265,0.017867
6,152.413,0.00678265,0.017867
7,148.364,0.00678265,0.017867
8,150.607,0.00678265,0.017867
9,151.145,0.00678265,0.017867
10,151.867,0.00678265,0.017867
11,153.62,0.00678265,0.017867
12,154.529,0.00678265,0.017867
13,147.936,0.00678265,0.017867
14,147.036,0.00678265,0.017867
15,152.247,0.00678265,0.017867
16,150.094,0.00678265,0.017867
17,152.372,0.00678265,0.017867
18,150.833,0.00678265,0.017867
19,153.436,0.00678265,0.017867
20,149.347,0.00678265,0.017867
21,146.727,0.00678265,0.017867
22,149.086,0.00678265,0.017867
23,149.407,0.00678265,0.017867
24,152.289,0.00678265,0.017867
25,148.786,0.00678265,0.017867
26,155.388,0.00678265,0.017867
27,153.002,0.00678265,0.017867
28,150.609,0.00678265,0.017867
29,148.694,0.00678265,0.017867
30,148.846,0.00678265,0.017867
31,145.93,0.00678265,0.017867
32,146.525,0.00678265,0.017867
33,143.462,0.00678265,0.017867
34,148.764,0.00678265,0.017867
35,145.406,0.00678265,0.017867
36,148.521,0.00678265,0.017867
37,153.082,0.00678265,0.017867
38,149.966,0.00678265,0.017867
39,155.697,0.00678265,0.017867
40,147.829,0.00678265,0.017867
41,150.121,0.00678265,0.017867
42,148.644,0.00678265,0.017867
43,152.278,0.00678265,0.017867
44,147.591,0.00678265,0.017867
45,145.204,0.00678265,0.017867
46,145.231,0.00678265,0.017867
47,143.031,0.00678265,0.017867
48,151.43,0.00678265,0.017867
49,146.326,0.00678265,0.017867
50,148.083,0.00678265,0.017867
51,156.333,0.00678265,0.017867
52,150.76,0.00678265,0.017867
53,151.574,0.00678265,0.017867
54,149.905,0.00678265,0.017867
55,141.823,0.00678265,0.017867
56,154.714,0.00678265,0.017867
57,150,0.00678265,0.017867
58,149.55,0.00678265,0.017867
59,146.876,0.00678265,0.017867
60,151.617,0.00678265,0.017867
61,143.804,0.00678265,0.017867
62,150.537,0.00678265,0.017867
63,150.44,0.00678265,0.017867
64,151.024,0.00678265,0.017867
65,142.621,0.00678265,0.017867
66,149.588,0.00678265,0.017867
67,146.206,0.00678265,0.017867
68,144.571,0.00678265,0.017867
69,149.638,0.00678265,0.017867
70,150.711,0.00678265,0.017867
71,155.675,0.00678265,0.017867
72,148.328,0.00678265,0.017867
73,149.957,0.00678265,0.017867
74,145.857,0.00678265,0.017867
75,149.661,0.00678265,0.017867
76,147.559,0.00678265,0.017867
77,148.104,0.00678265,0.017867
78,141.102,0.00678265,0.017867
79,151.07,0.00678265,0.017867
80,148.897,0.00678265,0.017867
81,148.534,0.00678265,0.017867
82,152.498,0.00678265,0.017867
83,153.638,0.00678265,0.017867
84,154.933,0.00678265,0.017867
85,143.953,0.00678265,0.017867
86,147.266,0.00678265,0.017867
87,151.541,0.00678265,0.017867
88,148.362,0.00678265,0.017867
89,147.433,0.00678265,0.017867
90,146.782,0.00678265,0.017867
91,149.427,0.00678265,0.017867
92,149.352,0.00678265,0.017867
93,151.611,0.00678265,0.017867
94,142.021,0.00678265,0.017867
95,148.85,0.00678265,0.017867
96,144.558,0.00678265,0.017867
97,153.555,0.00678265,0.017867
98,151.503,0.00678265,0.017867
99,150.731,0.00678265,0.017867
100,150.583,0.00678265,0.017867
101,151.322,0.00678265,0.017867
102,147.401,0.00678265,0.017867
103,148.741,0.00678265,0.017867
104,152.455,0.00678265,0.017867
105,147.822,0.00678265,0.017867
106,153.307,0.00678265,0.017867
107,149.978,0.00678265,0.017867
108,149.378,0.00678265,0.017867
109,146.329,0.00678265,0.017867
110,149.619,0.00678265,0.017867
111,150.336,0.00678265,0.017867
112,147.077,0.00678265,0.017867
113,146.658,0.00678265,0.017867
114,145.523,0.00678265,0.017867
115,150.374,0.00678265,0.017867
116,150.802,0.00678265,0.017867
117,147.74,0.00678265,0.017867
118,146.115,0.00678265,0.017867
119,150.285,0.00678265,0.017867
120,147.771,0.00678265,0.017867
121,146.551,0.00678265,0.017867
122,158.847,0.00678265,0.017867
123,150.364,0.00678265,0.017867
124,148.539,0.00678265,0.017867
125,150.08,0.00678265,0.017867
126,151.142,0.00678265,0.017867
127,145.463,0.00678265,0.017867
128,149.488,0.00678265,0.017867
129,149.761,0.00678265,0.017867
130,151.386,0.00678265,0.017867
131,148.886,0.00678265,0.017867
132,147.14,0.00678265,0.017867
133,149.962,0.00678265,0.017867
134,149.178,0.00678265,0.017867
135,148.269,0.00678265,0.017867
136,152.49,0.00678265,0.017867
137,155.592,0.00678265,0.017867
138,148.185,0.00678265,0.017867
139,155.326,0.00678265,0.017867
140,144.215,0.00678265,0.017867
141,155.884,0.00678265,0.017867
142,142.221,0.00678265,0.017867
143,147.511,0.00678265,0.017867
144,147.578,0.00678265,0.017867
145,146.883,0.00678265,0.017867
146,149.195,0.00678265,0.017867
147,149.683,0.00678265,0.017867
148,149.365,0.00678265,0.017867
149,148.83,0.00678265,0.017867
150,147.391,0.00678265,0.017867
151,143.726,0.00678265,0.017867
152,151.49,0.00678265,0.017867
153,152.711,0.00678265,0.017867
154,145.799,0.00678265,0.017867
155,145,0.00678265,0.017867
156,155.911,0.00678265,0.017867
157,149.868,0.00678265,0.017867
158,144.02,0.00678265,0.017867
159,152.074,0.00678265,0.017867
160,148.643,0.00678265,0.017867
161,148.736,0.00678265,0.017867
162,147.761,0.00678265,0.017867
163,143.496,0.00678265,0.017867
164,142.187,0.00678265,0.017867
